species	strain	Media	asso	replicate	growthrate	location	source_asso
Solitaria	OAS5	PDA	bac	4	3.742424242	Obergurgl	Pseudomonas helmanticensis
Solitaria	OAS5	PDA	bac	5	3.633333333	Obergurgl	Pseudomonas helmanticensis
Solitaria	OAS5	PDA	cured	1	3.860606061	Obergurgl	Pseudomonas helmanticensis
Solitaria	OAS5	PDA	cured	2	3.722727273	Obergurgl	Pseudomonas helmanticensis
Solitaria	OAS5	PDA	cured	3	3.65	Obergurgl	Pseudomonas helmanticensis
Solitaria	OAS5	PDA	cured	4	3.763636364	Obergurgl	Pseudomonas helmanticensis
Solitaria	OAS5	PDA	cured	5	3.55	Obergurgl	Pseudomonas helmanticensis
Gamsii	Pats3_1	lcA	bac	1	8.293939394	Patscherkofel	no
Gamsii	Pats3_1	lcA	bac	2	8.666666667	Patscherkofel	no
Gamsii	Pats3_1	lcA	bac	3	8.318181818	Patscherkofel	no
Gamsii	Pats3_1	lcA	bac	4	8.212121212	Patscherkofel	no
Gamsii	Pats3_1	lcA	bac	5	8.303030303	Patscherkofel	no
Gamsii	Pats3_1	lcA	cured	1	8.387878788	Patscherkofel	no
Gamsii	Pats3_1	lcA	cured	2	8.209090909	Patscherkofel	no
Gamsii	Pats3_1	lcA	cured	3	8.363636364	Patscherkofel	no
Gamsii	Pats3_1	lcA	cured	4	8.136363636	Patscherkofel	no
Gamsii	Pats3_1	lcA	cured	5	8.163636364	Patscherkofel	no
Gamsii	Pats3_1	PDA	bac	1	8.845454545	Patscherkofel	no
Gamsii	Pats3_1	PDA	bac	2	9.6	Patscherkofel	no
Gamsii	Pats3_1	PDA	bac	3	8.818181818	Patscherkofel	no
Gamsii	Pats3_1	PDA	bac	4	8.987878788	Patscherkofel	no
Gamsii	Pats3_1	PDA	bac	5	8.793939394	Patscherkofel	no
Gamsii	Pats3_1	PDA	cured	1	7.83030303	Patscherkofel	no
Gamsii	Pats3_1	PDA	cured	2	7.963636364	Patscherkofel	no
Gamsii	Pats3_1	PDA	cured	3	7.972727273	Patscherkofel	no
Gamsii	Pats3_1	PDA	cured	4	7.854545455	Patscherkofel	no
Gamsii	Pats3_1	PDA	cured	5	8.003030303	Patscherkofel	no
Exigua	Pats4_2	lcA	bac	1	7.496969697	Patscherkofel	Pseudomonas helmanticensis
Exigua	Pats4_2	lcA	bac	2	7.66969697	Patscherkofel	Pseudomonas helmanticensis
Exigua	Pats4_2	lcA	bac	3	7.542424242	Patscherkofel	Pseudomonas helmanticensis
Exigua	Pats4_2	lcA	bac	4	6.915151515	Patscherkofel	Pseudomonas helmanticensis
Exigua	Pats4_2	lcA	bac	5	7.848484848	Patscherkofel	Pseudomonas helmanticensis
Exigua	Pats4_2	lcA	cured	1	7.206060606	Patscherkofel	Pseudomonas helmanticensis
Exigua	Pats4_2	lcA	cured	2	7.268181818	Patscherkofel	Pseudomonas helmanticensis
Exigua	Pats4_2	lcA	cured	3	7.487878788	Patscherkofel	Pseudomonas helmanticensis
Exigua	Pats4_2	lcA	cured	4	7.287878788	Patscherkofel	Pseudomonas helmanticensis
Exigua	Pats4_2	lcA	cured	5	7.472727273	Patscherkofel	Pseudomonas helmanticensis
Exigua	Pats4_2	PDA	bac	1	5.915151515	Patscherkofel	Pseudomonas helmanticensis
Exigua	Pats4_2	PDA	bac	2	5.733333333	Patscherkofel	Pseudomonas helmanticensis
Exigua	Pats4_2	PDA	bac	3	6.215151515	Patscherkofel	Pseudomonas helmanticensis
Exigua	Pats4_2	PDA	bac	4	5.724242424	Patscherkofel	Pseudomonas helmanticensis
Exigua	Pats4_2	PDA	bac	5	7.918181818	Patscherkofel	Pseudomonas helmanticensis
Exigua	Pats4_2	PDA	cured	1	7.190909091	Patscherkofel	Pseudomonas helmanticensis
Exigua	Pats4_2	PDA	cured	2	7.224242424	Patscherkofel	Pseudomonas helmanticensis
Exigua	Pats4_2	PDA	cured	3	7.333333333	Patscherkofel	Pseudomonas helmanticensis
Exigua	Pats4_2	PDA	cured	4	7.345454545	Patscherkofel	Pseudomonas helmanticensis
Exigua	Pats4_2	PDA	cured	5	6.843939394	Patscherkofel	Pseudomonas helmanticensis
Hyalina	Patw2_7	lcA	bac	1	7.163636364	Patscherkofel	Pseudomonas edaphica
Hyalina	Patw2_7	lcA	bac	2	7.766666667	Patscherkofel	Pseudomonas edaphica
Hyalina	Patw2_7	lcA	bac	3	7.306060606	Patscherkofel	Pseudomonas edaphica
Hyalina	Patw2_7	lcA	bac	4	7.342424242	Patscherkofel	Pseudomonas edaphica
Hyalina	Patw2_7	lcA	bac	5	7.324242424	Patscherkofel	Pseudomonas edaphica
Hyalina	Patw2_7	lcA	cured	1	5.287878788	Patscherkofel	Pseudomonas edaphica
Hyalina	Patw2_7	lcA	cured	2	4.703030303	Patscherkofel	Pseudomonas edaphica
Hyalina	Patw2_7	lcA	cured	3	5.287878788	Patscherkofel	Pseudomonas edaphica
Hyalina	Patw2_7	lcA	cured	4	5.190909091	Patscherkofel	Pseudomonas edaphica
Hyalina	Patw2_7	lcA	cured	5	5.463636364	Patscherkofel	Pseudomonas edaphica
Hyalina	Patw2_7	PDA	bac	1	8.406060606	Patscherkofel	Pseudomonas edaphica
Hyalina	Patw2_7	PDA	bac	2	8.572727273	Patscherkofel	Pseudomonas edaphica
Hyalina	Patw2_7	PDA	bac	3	8.76969697	Patscherkofel	Pseudomonas edaphica
Hyalina	Patw2_7	PDA	bac	4	8.324242424	Patscherkofel	Pseudomonas edaphica
Hyalina	Patw2_7	PDA	bac	5	8.472727273	Patscherkofel	Pseudomonas edaphica
Hyalina	Patw2_7	PDA	cured	1	6.245454545	Patscherkofel	Pseudomonas edaphica
Hyalina	Patw2_7	PDA	cured	2	6.26969697	Patscherkofel	Pseudomonas edaphica
Hyalina	Patw2_7	PDA	cured	3	6.027272727	Patscherkofel	Pseudomonas edaphica
Hyalina	Patw2_7	PDA	cured	4	6.957575758	Patscherkofel	Pseudomonas edaphica
Hyalina	Patw2_7	PDA	cured	5	6.218181818	Patscherkofel	Pseudomonas edaphica
E.Galaxi	Pfs28	lcA	bac	1	7.96969697	Pfitschertal	no
E.Galaxi	Pfs28	lcA	bac	2	7.327272727	Pfitschertal	no
E.Galaxi	Pfs28	lcA	bac	3	7.803030303	Pfitschertal	no
E.Galaxi	Pfs28	lcA	bac	4	7.590909091	Pfitschertal	no
E.Galaxi	Pfs28	lcA	bac	5	7.533333333	Pfitschertal	no
E.Galaxi	Pfs28	lcA	cured	1	7.23030303	Pfitschertal	no
E.Galaxi	Pfs28	lcA	cured	2	7.045454545	Pfitschertal	no
E.Galaxi	Pfs28	lcA	cured	3	7.118181818	Pfitschertal	no
E.Galaxi	Pfs28	lcA	cured	4	7.024242424	Pfitschertal	no
E.Galaxi	Pfs28	lcA	cured	5	7.136363636	Pfitschertal	no
E.Galaxi	Pfs28	PDA	bac	1	6.712121212	Pfitschertal	no
E.Galaxi	Pfs28	PDA	bac	2	6.690909091	Pfitschertal	no
E.Galaxi	Pfs28	PDA	bac	3	6.851515152	Pfitschertal	no
E.Galaxi	Pfs28	PDA	bac	4	6.924242424	Pfitschertal	no
E.Galaxi	Pfs28	PDA	bac	5	6.587878788	Pfitschertal	no
E.Galaxi	Pfs28	PDA	cured	1	6.478787879	Pfitschertal	no
E.Galaxi	Pfs28	PDA	cured	2	6.575757576	Pfitschertal	no
E.Galaxi	Pfs28	PDA	cured	3	6.6	Pfitschertal	no
E.Galaxi	Pfs28	PDA	cured	4	6.675757576	Pfitschertal	no
E.Galaxi	Pfs28	PDA	cured	5	6.724242424	Pfitschertal	no
E.Galaxi	Pr1s18	lcA	bac	1	6.733333333	Praxmar	no
E.Galaxi	Pr1s18	lcA	bac	2	7.115151515	Praxmar	no
E.Galaxi	Pr1s18	lcA	bac	3	7.242424242	Praxmar	no
E.Galaxi	Pr1s18	lcA	bac	4	6.721212121	Praxmar	no
E.Galaxi	Pr1s18	lcA	bac	5	7.263636364	Praxmar	no
E.Galaxi	Pr1s18	lcA	cured	1	7.039393939	Praxmar	no
E.Galaxi	Pr1s18	lcA	cured	2	6.707575758	Praxmar	no
E.Galaxi	Pr1s18	lcA	cured	3	6.571212121	Praxmar	no
E.Galaxi	Pr1s18	lcA	cured	4	6.695454545	Praxmar	no
E.Galaxi	Pr1s18	lcA	cured	5	6.413636364	Praxmar	no
E.Galaxi	Pr1s18	PDA	bac	1	7.206060606	Praxmar	no
E.Galaxi	Pr1s18	PDA	bac	2	7.378787879	Praxmar	no
E.Galaxi	Pr1s18	PDA	bac	3	7.627272727	Praxmar	no
E.Galaxi	Pr1s18	PDA	bac	4	7.203030303	Praxmar	no
E.Galaxi	Pr1s18	PDA	bac	5	7.066666667	Praxmar	no
E.Galaxi	Pr1s18	PDA	cured	1	7.012121212	Praxmar	no
E.Galaxi	Pr1s18	PDA	cured	2	7.116666667	Praxmar	no
E.Galaxi	Pr1s18	PDA	cured	3	6.886363636	Praxmar	no
E.Galaxi	Pr1s18	PDA	cured	4	6.478787879	Praxmar	no
E.Galaxi	Pr1s18	PDA	cured	5	7.033333333	Praxmar	no
Gamsii	Pr2s1	lcA	bac	1	7.457575758	Praxmar	no
Gamsii	Pr2s1	lcA	bac	2	7.6	Praxmar	no
Gamsii	Pr2s1	lcA	bac	3	7.803030303	Praxmar	no
Gamsii	Pr2s1	lcA	bac	4	7.663636364	Praxmar	no
Gamsii	Pr2s1	lcA	bac	5	7.73030303	Praxmar	no
Gamsii	Pr2s1	lcA	cured	1	7.472727273	Praxmar	no
Gamsii	Pr2s1	lcA	cured	2	7.384848485	Praxmar	no
Gamsii	Pr2s1	lcA	cured	3	7.409090909	Praxmar	no
Gamsii	Pr2s1	lcA	cured	4	7.109090909	Praxmar	no
Gamsii	Pr2s1	lcA	cured	5	7.133333333	Praxmar	no
Gamsii	Pr2s1	PDA	bac	1	8.233333333	Praxmar	no
Gamsii	Pr2s1	PDA	bac	2	8.460606061	Praxmar	no
Gamsii	Pr2s1	PDA	bac	3	8.396969697	Praxmar	no
Gamsii	Pr2s1	PDA	bac	4	8.336363636	Praxmar	no
Gamsii	Pr2s1	PDA	bac	5	8.521212121	Praxmar	no
Gamsii	Pr2s1	PDA	cured	1	8.03030303	Praxmar	no
Gamsii	Pr2s1	PDA	cured	2	8.460606061	Praxmar	no
Gamsii	Pr2s1	PDA	cured	3	8.072727273	Praxmar	no
Gamsii	Pr2s1	PDA	cured	4	8.163636364	Praxmar	no
Gamsii	Pr2s1	PDA	cured	5	8.196969697	Praxmar	no
Exigua	Pr2s22	lcA	bac	1	8.021212121	Praxmar	no
Exigua	Pr2s22	lcA	bac	2	8.133333333	Praxmar	no
Exigua	Pr2s22	lcA	bac	3	8.390909091	Praxmar	no
Exigua	Pr2s22	lcA	bac	4	8.587878788	Praxmar	no
Exigua	Pr2s22	lcA	bac	5	8.666666667	Praxmar	no
Exigua	Pr2s22	lcA	cured	1	8.118181818	Praxmar	no
Exigua	Pr2s22	lcA	cured	2	8.418181818	Praxmar	no
Exigua	Pr2s22	lcA	cured	3	8.284848485	Praxmar	no
Exigua	Pr2s22	lcA	cured	4	8.242424242	Praxmar	no
Exigua	Pr2s22	lcA	cured	5	8.221212121	Praxmar	no
Exigua	Pr2s22	PDA	bac	1	8.287878788	Praxmar	no
Exigua	Pr2s22	PDA	bac	2	8.724242424	Praxmar	no
Exigua	Pr2s22	PDA	bac	3	7.936363636	Praxmar	no
Exigua	Pr2s22	PDA	bac	4	7.948484848	Praxmar	no
Exigua	Pr2s22	PDA	bac	5	8.748484848	Praxmar	no
Exigua	Pr2s22	PDA	cured	1	8.039393939	Praxmar	no
Exigua	Pr2s22	PDA	cured	2	8.06969697	Praxmar	no
Exigua	Pr2s22	PDA	cured	3	8.342424242	Praxmar	no
Exigua	Pr2s22	PDA	cured	4	8.581818182	Praxmar	no
Exigua	Pr2s22	PDA	cured	5	8.496969697	Praxmar	no
E.Galaxi	Prw1_1	lcA	bac	1	8.718181818	Praxmar	no
E.Galaxi	Prw1_1	lcA	bac	2	8.881818182	Praxmar	no
E.Galaxi	Prw1_1	lcA	bac	3	8.860606061	Praxmar	no
E.Galaxi	Prw1_1	lcA	bac	4	8.803030303	Praxmar	no
E.Galaxi	Prw1_1	lcA	bac	5	8.803030303	Praxmar	no
E.Galaxi	Prw1_1	lcA	cured	1	9.124242424	Praxmar	no
E.Galaxi	Prw1_1	lcA	cured	2	9.154545455	Praxmar	no
E.Galaxi	Prw1_1	lcA	cured	3	9.293939394	Praxmar	no
E.Galaxi	Prw1_1	lcA	cured	4	9.303030303	Praxmar	no
E.Galaxi	Prw1_1	lcA	cured	5	9.384848485	Praxmar	no
E.Galaxi	Prw1_1	PDA	bac	1	8.372727273	Praxmar	no
E.Galaxi	Prw1_1	PDA	bac	2	8.175757576	Praxmar	no
E.Galaxi	Prw1_1	PDA	bac	3	8.445454545	Praxmar	no
E.Galaxi	Prw1_1	PDA	bac	4	8.384848485	Praxmar	no
E.Galaxi	Prw1_1	PDA	bac	5	8.672727273	Praxmar	no
E.Galaxi	Prw1_1	PDA	cured	1	8.827272727	Praxmar	no
E.Galaxi	Prw1_1	PDA	cured	2	8.709090909	Praxmar	no
E.Galaxi	Prw1_1	PDA	cured	3	9.103030303	Praxmar	no
E.Galaxi	Prw1_1	PDA	cured	4	8.781818182	Praxmar	no
E.Galaxi	Prw1_1	PDA	cured	5	9.003030303	Praxmar	no
